ax,ay,az,gx,gy,gz,target,target_name
-0.1,-0.2,0.97,-19.9,0.49,7.45,0.0,clockwise_wrist_turn
-0.1,-0.23,0.97,-13.73,0.18,7.39,0.0,clockwise_wrist_turn
-0.1,-0.25,0.96,-5.31,0.18,7.2,0.0,clockwise_wrist_turn
-0.1,-0.26,0.94,4.15,0.06,6.41,0.0,clockwise_wrist_turn
-0.11,-0.27,0.94,15.14,0.43,5.43,0.0,clockwise_wrist_turn
-0.11,-0.31,0.95,30.4,0.92,4.09,0.0,clockwise_wrist_turn
-0.11,-0.35,0.96,50.66,0.85,3.05,0.0,clockwise_wrist_turn
-0.11,-0.36,0.97,75.32,0.37,2.38,0.0,clockwise_wrist_turn
-0.1,-0.34,0.99,99.91,-0.24,1.65,0.0,clockwise_wrist_turn
-0.1,-0.34,1.0,126.1,-0.37,1.16,0.0,clockwise_wrist_turn
-0.11,-0.37,1.02,158.26,-0.67,1.59,0.0,clockwise_wrist_turn
-0.11,-0.43,1.04,202.51,-1.46,2.44,0.0,clockwise_wrist_turn
-0.12,-0.5,1.04,258.85,-3.11,3.6,0.0,clockwise_wrist_turn
-0.12,-0.52,1.0,324.52,-4.88,3.66,0.0,clockwise_wrist_turn
-0.11,-0.5,0.92,393.07,-6.96,3.42,0.0,clockwise_wrist_turn
-0.11,-0.41,0.83,459.23,-8.42,3.85,0.0,clockwise_wrist_turn
-0.11,-0.29,0.72,521.0,-9.83,3.97,0.0,clockwise_wrist_turn
-0.12,-0.11,0.57,570.43,-10.31,3.36,0.0,clockwise_wrist_turn
-0.12,0.14,0.43,601.07,-9.7,2.56,0.0,clockwise_wrist_turn
-0.12,0.42,0.32,610.9,-8.0,1.83,0.0,clockwise_wrist_turn
-0.11,0.66,0.26,604.43,-5.92,0.49,0.0,clockwise_wrist_turn
-0.11,0.88,0.22,578.61,-4.82,-1.89,0.0,clockwise_wrist_turn
-0.11,1.14,0.2,531.25,-5.25,-3.66,0.0,clockwise_wrist_turn
